A,B,C,F,G,H,I,J,K,L,Response,D,E,M,N
-139.1830514,-1.06094765,-0.097274571,-0.365750233,0.404933779,-0.305241085,-1.404708003,0.337154976,-1.592292541,-0.103457699,-0.45675722,Male,Yes,-0.205712745,-138.9880006
29.48575976,0.505300611,2.554449419,-1.150605636,-1.136164854,1.057957561,0.605221358,1.175852296,-0.746916337,1.74766823,1.396062196,Fema,Yes,1.892265796,29.15226331
-58.99736576,0.345515209,0.975520464,-1.028005514,-1.021109457,0.281954619,0.845064055,-0.204924363,-0.737706472,0.852125807,1.612660265,Fema,Yes,1.080193065,-58.94248466
-337.5102873,-0.53558371,0.276811925,0.547568545,-0.625828481,0.779547179,-0.193538832,-1.696171997,-1.226760297,-0.876860408,-0.49870288,Fema,Yes,-1.143868382,-337.3792254
-170.2248483,1.288706857,-0.45446033,-0.638862707,-1.486823056,-0.525960727,0.14749257,-0.923200879,-0.929357094,-1.304802348,1.186234168,Fema,Yes,-1.611586168,-169.8237263
-144.0722338,0.887802655,-1.723543558,-1.213974645,0.142588442,2.865601646,-0.675514951,0.321902382,-2.063530635,-1.678002304,-1.667617137,Male,Yes,-1.708455932,-143.6344308
33.14709494,-1.178516704,-0.557764738,-1.149762146,0.441910742,0.972295065,0.169950877,1.102492149,-0.375851753,-1.13698339,-0.29529111,Fema,Yes,-0.981579078,32.98354014
112.2455153,-0.432431979,-0.222959183,-0.596917112,-0.110590503,-0.489828219,0.658802142,0.85766191,-0.224826561,0.574608917,-0.256232698,Male,Yes,0.847758867,112.4327827
321.5060155,-0.7995935,1.414415043,1.710836583,0.409551778,-0.461893815,-0.626490223,0.374155086,1.706468247,0.073285432,-0.000417326,Male,Yes,-0.156409905,321.698814
-94.72613897,-1.716682427,0.685858901,0.179895255,-0.748423884,1.317629527,-1.623300062,-1.007366453,0.861894976,-1.158216952,-0.315350326,Fema,Yes,-1.43539363,-94.2463646
-163.7073521,0.238200192,1.794448805,-0.161373536,0.817861831,1.355442703,-0.398148129,-1.309412146,-0.091659408,-0.092112115,-1.482883358,Male,Yes,-0.010582043,-163.6326901
107.3389702,-0.247131632,0.791312537,0.590079763,-1.843368814,-0.317753446,-0.764332861,0.632310284,0.636729835,0.554404471,0.099224662,Male,Yes,0.838651253,107.3393512
-315.2135353,2.211304333,0.527597383,1.008597287,0.913201924,0.22734595,1.614249547,-1.472322928,-1.063432938,-0.56431791,-0.400348815,Fema,Yes,-0.5525634,-314.7689974
180.9483058,0.618591573,0.494383406,-0.979284844,0.066523465,-1.112908187,-0.693290779,0.598657745,1.228180292,-0.761386365,0.105161381,Fema,Yes,-1.000340751,180.9773857
-90.00296327,-0.948932811,1.947098643,-1.365162877,-0.039267991,-0.469310736,0.875695679,1.041568389,-1.980565591,-0.421327587,0.154668834,Male,Yes,-0.11443464,-90.13517497
-143.8939329,1.51826117,0.096321356,0.163928572,-0.24201983,1.181378601,-0.631903758,-1.208573654,-0.443836093,-2.559184666,0.213480049,Fema,Yes,-2.666523703,-144.1535527
184.3833879,1.322194158,-1.682501149,-0.097838333,-2.368803453,-1.558124144,-0.869865476,2.979976172,0.528438765,-1.348431601,0.027098976,Fema,Yes,-1.098273139,185.056532
261.2301447,0.382202788,-0.946740411,-0.83519269,-1.451905529,-1.684517255,0.806563768,1.936712462,1.161533804,-0.186709112,0.403896021,Male,Yes,-0.247789688,261.5292697
-312.1044043,-0.539454633,0.496000946,1.128594065,-2.016406628,1.319136876,-0.882418819,0.251484415,-0.709727966,0.994394391,-2.28862004,Fema,Yes,1.004959922,-311.4030301
-309.5517643,1.037107648,0.51073523,-0.862134289,-1.402742403,-1.083673175,1.880086832,-0.841301649,-0.532625699,-1.46484512,-1.167097239,Fema,Yes,-1.289964252,-309.2305876
-35.63283671,-0.045871463,-0.10367638,0.115470104,0.167027115,0.598134022,-0.633769592,1.178343158,-0.854801323,0.430907259,-1.335611373,Male,Yes,0.467757558,-35.47423172
-154.3754198,-2.459996763,1.044194011,0.104389476,-0.109685303,-0.236640364,0.80787182,0.821331394,-1.653355115,-0.031768296,-1.311052583,Male,Yes,0.424268685,-154.5026561
73.25818798,-0.484653849,-0.883416472,-0.786569094,3.457178893,0.176979026,0.828727312,-0.604113179,1.07745667,-0.463241461,-1.102899172,Fema,Yes,-0.333195637,73.42251796
-313.8027029,-2.088946445,0.581157208,-1.075230311,-0.186598463,0.199718768,1.686534303,-0.464784969,-1.348681522,1.179397988,-1.008340616,Fema,Yes,1.332321708,-313.1886526
235.8022541,-1.112905895,-1.572796453,-1.448466863,-1.037029344,1.523771198,-0.0572812,0.08071989,2.337409661,-0.336273859,0.909188495,Male,Yes,-0.109857507,235.9600745
114.3860391,-0.108758542,-0.109781628,-1.216304059,-0.834349368,-0.276746815,-0.560841384,-0.292459624,-0.300686115,-0.278110739,1.034105379,Male,Yes,-0.208442286,114.1558458
67.33600439,0.17809812,0.014210156,-0.165276151,1.110378997,0.862790232,-0.387858444,-0.65318655,0.665914738,-2.061739218,-1.622504745,Male,Yes,-1.992822347,67.07164323
447.0322391,-1.175178986,1.165238178,0.575951385,0.858458251,-0.199274234,-0.545397642,0.235240987,2.27707735,0.559075377,0.917954606,Male,Yes,0.538708661,446.7972358
-194.16486,0.483471726,0.024792659,1.006101706,0.406657247,-0.690431429,1.428892424,-1.010546209,0.622075197,-1.690997762,-0.967127071,Fema,Yes,-2.007592762,-193.761742
32.59948145,0.611057884,-1.432203299,-0.897237031,-0.606251348,-0.873630633,-1.0577539,0.317098166,1.509508919,0.065851179,-0.782324319,Fema,Yes,0.148334304,32.71013625
-52.44793385,-0.302302751,0.777490356,-1.25279536,-0.387326817,-0.509652182,-0.438074302,1.202379849,-1.420017937,1.950775395,1.230290681,Fema,Yes,1.530025593,-52.39252061
-159.2516531,-0.033826967,1.363742593,-0.277939967,1.047986615,-0.733816726,-0.532437659,-0.607867948,-2.049231913,0.939614394,0.417053889,Male,Yes,0.807394708,-159.1104139
-264.0809493,0.830517369,0.418203349,-0.443960009,-1.762228898,-0.045614283,0.371955552,-0.71332699,-0.875681827,-0.576454653,-1.852342657,Male,Yes,-0.320319115,-263.5382849
-43.27384614,0.87465394,-0.457865907,-0.108890016,1.004579602,-0.719189792,-0.357588459,-2.177194958,-0.09074169,0.506785601,0.013426318,Male,Yes,0.480749742,-43.54397247
38.12183546,-0.145274457,-1.582685642,-1.44657789,0.330532743,-0.778183521,1.736774957,0.769430178,0.301514057,0.479095224,-0.162218448,Fema,Yes,0.538094472,38.37524063
41.49064427,-0.378893539,-1.122591937,-1.748651443,0.738576386,-0.1334914,-1.566370336,0.472216848,0.972207152,0.663240496,-1.255648253,Fema,Yes,0.614152257,41.68102252
20.71234762,0.062054462,0.081818695,-0.015668153,0.35793072,1.194613335,0.115547977,-0.109254049,-1.321741246,0.545002575,0.928736848,Male,Yes,0.574948256,20.7080984
